Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,6,0.01,0.9099999999999999,0.2994847142963268
75% Corpus,6,0.01,symmetric,0.30159745926362874
75% Corpus,6,0.31,0.01,0.30396522744636806
75% Corpus,6,0.31,0.31,0.30021261525205856
75% Corpus,6,0.31,0.61,0.2869266372684559
75% Corpus,6,0.31,0.9099999999999999,0.28890857665436837
75% Corpus,6,0.31,symmetric,0.31228241674120466
75% Corpus,6,0.61,0.01,0.30182186067774613
75% Corpus,6,0.61,0.31,0.29777991987412317
75% Corpus,6,0.61,0.61,0.2941881036099858
75% Corpus,6,0.61,0.9099999999999999,0.29193242597770963
75% Corpus,6,0.61,symmetric,0.3001083627267449
75% Corpus,6,0.9099999999999999,0.01,0.28989276911159945
75% Corpus,6,0.9099999999999999,0.31,0.2948459763966477
75% Corpus,6,0.9099999999999999,0.61,0.2926217167146814
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.3011367443760486
75% Corpus,6,0.9099999999999999,symmetric,0.30030180210465146
75% Corpus,6,symmetric,0.01,0.3090542956983582
75% Corpus,6,symmetric,0.31,0.30146240814214903
75% Corpus,6,symmetric,0.61,0.28607698094561257
75% Corpus,6,symmetric,0.9099999999999999,0.28796440505752324
75% Corpus,6,symmetric,symmetric,0.30637166534666244
75% Corpus,6,asymmetric,0.01,0.29241348751184754
75% Corpus,6,asymmetric,0.31,0.31239321030918693
75% Corpus,6,asymmetric,0.61,0.3175619490615568
75% Corpus,6,asymmetric,0.9099999999999999,0.30077805802768837
75% Corpus,6,asymmetric,symmetric,0.3060378331867726
75% Corpus,7,0.01,0.01,0.2943011299452999
75% Corpus,7,0.01,0.31,0.29480781663282113
75% Corpus,7,0.01,0.61,0.32069466840073213
75% Corpus,7,0.01,0.9099999999999999,0.322247479162383
75% Corpus,7,0.01,symmetric,0.3026854703293606
75% Corpus,7,0.31,0.01,0.30588251905485525
75% Corpus,7,0.31,0.31,0.3067820122093044
75% Corpus,7,0.31,0.61,0.2975610073078187
75% Corpus,7,0.31,0.9099999999999999,0.3403419615964146
75% Corpus,7,0.31,symmetric,0.3007289432521944
75% Corpus,7,0.61,0.01,0.3064138858759324
75% Corpus,7,0.61,0.31,0.2987714794192223
75% Corpus,7,0.61,0.61,0.3141306392811734
75% Corpus,7,0.61,0.9099999999999999,0.34612413414808724
75% Corpus,7,0.61,symmetric,0.30557510247231906
75% Corpus,7,0.9099999999999999,0.01,0.30459541019823766
75% Corpus,7,0.9099999999999999,0.31,0.2990665530517737
75% Corpus,7,0.9099999999999999,0.61,0.34211209892195427
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.3453490788094871
75% Corpus,7,0.9099999999999999,symmetric,0.29993176555056406
75% Corpus,7,symmetric,0.01,0.30768080034149425
75% Corpus,7,symmetric,0.31,0.29480781663282113
75% Corpus,7,symmetric,0.61,0.30414574213833
75% Corpus,7,symmetric,0.9099999999999999,0.32633523581649726
75% Corpus,7,symmetric,symmetric,0.3026863271003969
75% Corpus,7,asymmetric,0.01,0.28861862469883576
75% Corpus,7,asymmetric,0.31,0.3024059220877687
75% Corpus,7,asymmetric,0.61,0.3858062452814074
75% Corpus,7,asymmetric,0.9099999999999999,0.3454727737752881
75% Corpus,7,asymmetric,symmetric,0.29480978695059623
75% Corpus,8,0.01,0.01,0.30395712343315406
75% Corpus,8,0.01,0.31,0.335237452460681
75% Corpus,8,0.01,0.61,0.3462567729462907
75% Corpus,8,0.01,0.9099999999999999,0.42035746539356744
75% Corpus,8,0.01,symmetric,0.31321872824153396
75% Corpus,8,0.31,0.01,0.2968437145727792
75% Corpus,8,0.31,0.31,0.31865722551231274
75% Corpus,8,0.31,0.61,0.3223641776882209
75% Corpus,8,0.31,0.9099999999999999,0.32503182208596804
75% Corpus,8,0.31,symmetric,0.31276164859310285
75% Corpus,8,0.61,0.01,0.2982151741032355
75% Corpus,8,0.61,0.31,0.3154835475843807
75% Corpus,8,0.61,0.61,0.3410657520000396
75% Corpus,8,0.61,0.9099999999999999,0.41967296579297014
75% Corpus,8,0.61,symmetric,0.29816097433200883
75% Corpus,8,0.9099999999999999,0.01,0.2976739096733796
